game_id,game_date,home_team,away_team,start_time,hour,minute,second
2004_13_DEN_SD,2004-12-05,LAC,DEN,08:05:53,8,5,53
2004_13_GB_PHI,2004-12-05,PHI,GB,11:15:49,11,15,49
2004_13_HOU_NYJ,2004-12-05,NYJ,HOU,08:02:51,8,2,51
2004_13_KC_OAK,2004-12-05,LV,KC,08:14:28,8,14,28
2004_13_MIN_CHI,2004-12-05,CHI,MIN,07:03:09,7,3,9
2004_13_NE_CLE,2004-12-05,CLE,NE,08:02:51,8,2,51
2004_13_NYG_WAS,2004-12-05,WAS,NYG,11:15:54,11,15,54
2004_13_PIT_JAX,2004-12-05,JAX,PIT,15:36:57,15,36,57
2004_13_SF_STL,2004-12-05,LA,SF,07:02:51,7,2,51
2004_13_TEN_IND,2004-12-05,IND,TEN,08:02:43,8,2,43
2004_14_CHI_JAX,2004-12-12,JAX,CHI,08:03:08,8,3,8
2004_14_CIN_NE,2004-12-12,NE,CIN,08:03:05,8,3,5
2004_14_CLE_BUF,2004-12-12,BUF,CLE,08:03:26,8,3,26
2004_14_DET_GB,2004-12-12,GB,DET,10:15:32,10,15,32
2004_14_IND_HOU,2004-12-12,HOU,IND,07:02:34,7,2,34
2004_14_KC_TEN,2004-12-13,TEN,KC,15:08:02,15,8,2
2004_14_MIA_DEN,2004-12-12,DEN,MIA,09:05:42,9,5,42
2004_14_NO_DAL,2004-12-12,DAL,NO,07:03:41,7,3,41
2004_14_NYG_BAL,2004-12-12,BAL,NYG,08:03:36,8,3,36
2004_14_NYJ_PIT,2004-12-12,PIT,NYJ,11:37:35,11,37,35
2004_14_OAK_ATL,2004-12-12,ATL,LV,08:03:03,8,3,3
2004_14_PHI_WAS,2004-12-12,WAS,PHI,15:37:05,15,37,5
2004_14_SEA_MIN,2004-12-12,MIN,SEA,08:03:26,8,3,26
2004_14_SF_ARI,2004-12-12,ARI,SF,09:15:27,9,15,27
2004_14_STL_CAR,2004-12-12,CAR,LA,11:15:45,11,15,45
2004_14_TB_SD,2004-12-12,LAC,TB,08:15:32,8,15,32
2004_15_BAL_IND,2004-12-19,IND,BAL,15:37:28,15,37,28
2004_15_BUF_CIN,2004-12-19,CIN,BUF,08:03:32,8,3,32
2004_15_CAR_ATL,2004-12-18,ATL,CAR,15:36:54,15,36,54
2004_15_DAL_PHI,2004-12-19,PHI,DAL,08:02:48,8,2,48
2004_15_DEN_KC,2004-12-19,KC,DEN,07:03:09,7,3,9
2004_15_HOU_CHI,2004-12-19,CHI,HOU,07:02:42,7,2,42
2004_15_JAX_GB,2004-12-19,GB,JAX,10:16:05,10,16,5
2004_15_MIN_DET,2004-12-19,DET,MIN,08:03:09,8,3,9
2004_15_NO_TB,2004-12-19,TB,NO,11:05:37,11,5,37
2004_15_PIT_NYG,2004-12-18,NYG,PIT,08:37:12,8,37,12
2004_15_SD_CLE,2004-12-19,CLE,LAC,08:03:01,8,3,1
2004_15_SEA_NYJ,2004-12-19,NYJ,SEA,08:02:56,8,2,56
2004_15_STL_ARI,2004-12-19,ARI,LA,09:05:47,9,5,47
2004_15_TEN_OAK,2004-12-19,LV,TEN,08:28:37,8,28,37
2004_15_WAS_SF,2004-12-18,SF,WAS,09:16:07,9,16,7
2004_16_ARI_SEA,2004-12-26,SEA,ARI,08:15:50,8,15,50
2004_16_ATL_NO,2004-12-26,NO,ATL,07:03:07,7,3,7
2004_16_BAL_PIT,2004-12-26,PIT,BAL,08:02:55,8,2,55
2004_16_BUF_SF,2004-12-26,SF,BUF,08:06:34,8,6,34
2004_16_CAR_TB,2004-12-26,TB,CAR,11:15:52,11,15,52
2004_16_CHI_DET,2004-12-26,DET,CHI,08:03:14,8,3,14
2004_16_CLE_MIA,2004-12-26,MIA,CLE,15:37:31,15,37,31
2004_16_DEN_TEN,2004-12-25,TEN,DEN,14:36:22,14,36,22
2004_16_GB_MIN,2004-12-24,MIN,GB,09:06:36,9,6,36
2004_16_HOU_JAX,2004-12-26,JAX,HOU,08:03:13,8,3,13
2004_16_NE_NYJ,2004-12-26,NYJ,NE,11:05:44,11,5,44
2004_16_NYG_CIN,2004-12-26,CIN,NYG,08:03:26,8,3,26
2004_16_OAK_KC,2004-12-25,KC,LV,11:06:38,11,6,38
2004_16_PHI_STL,2004-12-27,LA,PHI,15:11:43,15,11,43
2004_16_SD_IND,2004-12-26,IND,LAC,08:03:00,8,3,0
2004_16_WAS_DAL,2004-12-26,DAL,WAS,10:15:46,10,15,46
2004_17_ATL_SEA,2005-01-02,SEA,ATL,08:06:06,8,6,6
2004_17_CIN_PHI,2005-01-02,PHI,CIN,08:05:09,8,5,9
2004_17_CLE_HOU,2005-01-02,HOU,CLE,07:03:03,7,3,3
2004_17_DAL_NYG,2005-01-02,NYG,DAL,15:36:16,15,36,16
2004_17_DET_TEN,2005-01-02,TEN,DET,07:03:33,7,3,33
2004_17_GB_CHI,2005-01-02,CHI,GB,07:03:30,7,3,30
2004_17_IND_DEN,2005-01-02,DEN,IND,09:15:52,9,15,52
